"Frequency / Hz","Vm3:Measured voltage","Vm4:Measured voltage","Vm5:Measured voltage"
12950,1.4911357626642778e-10,3.0124971263868821e-11,1.5586301205954855e-10
13000,5.7448795884083984e-11,1.3953839785223029e-10,1.1975196316805562e-10
13050,6.6202877040222163e-11,1.0436789557635425e-10,1.69301602491287e-10
13100,1.2721246940172338e-10,1.1930435708748442e-11,1.3893391345405659e-10
13150,3.7280529664610711e-11,3.0446720865238458e-11,3.93894788786741e-11
13200,8.8565332347424999e-11,2.3090366815888207e-11,7.6796328891096337e-11
13250,1.9820228506471907e-10,1.0333606163564053e-10,1.9699518141110351e-10
13300,2.7563689527947684e-10,1.5425170098350339e-10,1.5818625472840392e-10
13350,2.0848551671656893e-10,7.4931976353304605e-11,1.7230998455716843e-10
13400,7.1400557951838836e-11,1.6652036000291347e-10,1.0372011695567938e-10
13450,3.1646283948774846e-11,1.0622921360220047e-10,1.3256653068640433e-10
13500,1.9843907297938686e-10,9.5073398792094349e-11,1.6744699413567392e-10
13550,1.6856045566008333e-10,5.1971993416459456e-11,1.1787490487000279e-10
13600,2.8191107743077067e-10,1.1293295547093145e-10,3.5718502545236977e-10
13650,1.8934822518428571e-10,2.4623008730082138e-10,1.8949404310380266e-10
13700,9.0714580325551674e-11,3.730292153693395e-11,5.9875157303759636e-11
13750,8.6046291530979928e-11,1.0232201187612682e-10,4.9885846185505626e-11
13800,1.6624406902824039e-10,1.8298511883882922e-10,1.413954240526391e-10
13850,7.256858211928969e-11,8.7024606778976078e-11,1.5417575943285557e-11
13900,1.2266563612524909e-10,4.0578203316944029e-11,1.0187258842398152e-10
13950,2.4004832644031955e-10,3.0672768989660044e-10,6.7231121666919957e-11
14000,1.2614865956706272e-10,3.9605814838726593e-11,9.3104509299151787e-11
14050,1.8658629812556415e-10,7.4154658873710257e-11,1.2130713841947741e-10
14100,1.3681995530949405e-10,1.2303145275506768e-10,3.5484658440198675e-11
14150,6.0529250330841216e-11,1.9268457218429272e-10,1.5533892294130867e-10
14200,1.4868064833009716e-09,1.5714401069165496e-09,1.5663535738660373e-09
14250,9.0738807598525743e-11,5.9034840461669964e-11,1.4583353588926701e-10
14300,1.8784601437595703e-07,1.8802725642395986e-07,1.8778374650218616e-07
14350,2.0610099473242054e-10,9.3664031743122735e-11,2.1028301934028852e-10
